Time(s), Pan(degree), Tilt(degree), Signal Strength
1.2,1.0,0.0,529.0
1.4,2.0,0.0,477.0
1.6,3.0,0.0,439.0
1.8,4.0,0.0,406.0
2.0,5.0,0.0,373.0
2.2,6.0,0.0,347.0
2.41,7.0,0.0,328.0
2.61,8.0,0.0,315.0
2.81,9.0,0.0,305.0
3.01,10.0,0.0,299.0
3.21,11.0,0.0,301.0
3.41,12.0,0.0,306.0
3.61,13.0,0.0,315.0
3.81,14.0,0.0,325.0
4.01,15.0,0.0,334.0
4.21,16.0,0.0,347.0
4.41,17.0,0.0,362.0
4.61,18.0,0.0,374.0
4.81,19.0,0.0,382.0
5.02,20.0,0.0,385.0
5.22,21.0,0.0,386.0
5.42,22.0,0.0,384.0
5.62,23.0,0.0,372.0
5.82,24.0,0.0,360.0
6.02,25.0,0.0,345.0
6.22,26.0,0.0,329.0
6.42,27.0,0.0,314.0
6.62,28.0,0.0,294.0
6.82,29.0,0.0,279.0
7.02,30.0,0.0,269.0
7.23,31.0,0.0,262.0
7.43,32.0,0.0,259.0
7.63,33.0,0.0,258.0
7.83,34.0,0.0,258.0
8.03,35.0,0.0,266.0
8.23,36.0,0.0,277.0
8.43,37.0,0.0,288.0
8.63,38.0,0.0,301.0
8.83,39.0,0.0,313.0
9.03,40.0,0.0,327.0
9.23,41.0,0.0,349.0
9.44,42.0,0.0,369.0
9.64,43.0,0.0,387.0
9.84,44.0,0.0,398.0
10.04,45.0,0.0,405.0
10.24,46.0,0.0,408.0
10.44,47.0,0.0,405.0
10.64,48.0,0.0,396.0
10.84,49.0,0.0,380.0
11.04,50.0,0.0,361.0
11.24,51.0,0.0,342.0
11.44,52.0,0.0,322.0
11.64,53.0,0.0,298.0
11.85,54.0,0.0,281.0
12.05,55.0,0.0,266.0
12.25,56.0,0.0,254.0
12.45,57.0,0.0,248.0
12.65,58.0,0.0,249.0
12.85,59.0,0.0,247.0
13.05,60.0,0.0,251.0
13.25,61.0,0.0,261.0
13.45,62.0,0.0,274.0
13.65,63.0,0.0,290.0
13.85,64.0,0.0,308.0
14.06,65.0,0.0,324.0
14.26,66.0,0.0,340.0
14.46,67.0,0.0,361.0
14.66,68.0,0.0,379.0
14.86,69.0,0.0,393.0
15.06,70.0,0.0,401.0
15.26,71.0,0.0,405.0
15.46,72.0,0.0,407.0
15.66,73.0,0.0,399.0
15.86,74.0,0.0,385.0
16.06,75.0,0.0,369.0
16.26,76.0,0.0,350.0
16.47,77.0,0.0,328.0
16.67,78.0,0.0,301.0
16.87,79.0,0.0,282.0
17.07,80.0,0.0,267.0
17.27,81.0,0.0,255.0
17.47,82.0,0.0,247.0
17.67,83.0,0.0,246.0
17.87,84.0,0.0,244.0
18.07,85.0,0.0,252.0
18.27,86.0,0.0,264.0
